match_id,player1_id,player2_id,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20190925-W-Wuhan-R16-Ashleigh_Barty-Sofia_Kenin,p_d80cd92c,p_c7124d39,20190925,Wuhan,R16,,Center,Hard,Cecilia Alberti,3,1,Lowell
20190924-W-Wuhan-R32-Karolina_Pliskova-Amanda_Anisimova,p_acc29a12,p_67027776,20190924,Wuhan,R32,,Centre,Hard,Kader Nouni,3,1,Lowell
20190924-W-Wuhan-R32-Bernarda_Pera-Kiki_Bertens,p_aa262239,p_0c6fe0d8,20190924,Wuhan,R32,18:20,1,Hard,,3,1,Zindaras
20190924-W-Tashkent-R32-Nigina_Abduraimova-Monica_Niculescu,p_e90b4b0f,p_cec721f6,20190924,Tashkent,R32,,Centre,Hard,,3,1,Zindaras
20190922-W-Seoul-F-Magda_Linette-Karolina_Muchova,p_3c16bb51,p_09028a4f,20190922,Seoul,F,,Centre,Hard,Kader Nouni,3,1,Zindaras
20190921-W-Seoul-SF-Karolina_Muchova-Yafan_Wang,p_09028a4f,p_92c7afd2,20190921,Seoul,SF,,Centre,Hard,Katarzyna Radwan-Cho,3,1,Zindaras
20190919-W-Seoul-R16-Patricia_Maria_Tig-Paula_Badosa,p_1d55851d,p_763d2d98,20190919,Seoul,R16,,Centre,Hard,,3,1,Zindaras
20190919-W-Osaka-R16-Anastasia_Pavlyuchenkova-Kiki_Bertens,p_fdbb2ba4,p_0c6fe0d8,20190919,Osaka,R16,17:35,Centre,Hard,Julie Kjendlie,3,1,Zindaras
20190918-W-Guangzhou-R32-Laura_Siegemund-Sofia_Kenin,p_06744e7d,p_c7124d39,20190918,Guangzhou,R32,,Centre,Hard,Pierre Bacchi,3,1,Zindaras
20190918-W-Guangzhou-R16-Marie_Bouzkova-Elina_Svitolina,p_30e27cc6,p_e48facb4,20190918,Guangzhou,R16,21:00,Centre,Hard,Isabell Seefried,3,1,Zindaras
20190918-W-Guangzhou-R16-Aleksandra_Krunic-Anna_Blinkova,p_e420f3f2,p_c7b9489c,20190918,Guangzhou,R16,,,Hard,Pierre Bacchi,3,1,Isaac
20190917-W-Guangzhou-R32-Andrea_Petkovic-Lesley_Pattinama_Kerkhove,p_7b5342ff,p_2e4580a1,20190917,Guangzhou,R32,,3,Hard,,3,1,Zindaras
20190913-W-Zhengzhou-R16-Kiki_Bertens-Ajla_Tomljanovic,p_0c6fe0d8,p_f5704e3c,20190913,Zhengzhou,R16,11:10,1,Hard,K. Radwan-Cho,3,1,Zindaras
20190911-W-Zhengzhou-R16-Karolina_Pliskova-Polona_Hercog,p_acc29a12,p_230c45aa,20190911,Zhengzhou,R16,9:30 PM,Centre,Hard,Juan Zhang,3,1,Simon
20190911-W-Hiroshima-R16-Priscilla_Hon-Su_Wei_Hsieh,p_719cf747,p_79243971,20190911,Hiroshima,R16,,Centre,Hard,Yasuyuki Kondo,3,1,Zindaras
20190910-W-Zhengzhou-R32-Bibiane_Schoofs-Saisai_Zheng,p_ae10526f,p_3fbb3736,20190910,Zhengzhou,R32,,Centre,Hard,Arnaud Gabas,3,1,Zindaras
20190910-W-Hiroshima-R32-Risa_Ozaki-Su_Wei_Hsieh,p_a99dd096,p_79243971,20190910,Hiroshima,R32,,Centre,Hard,Julie Kjendlie,3,1,Zindaras
20190907-W-US_Open-F-Serena_Williams-Bianca_Andreescu,p_76f82292,p_f6670c87,20190907,US Open,F,16:20,Arthur Ashe,Hard,Alison Hughes,3,1,Zindaras
