player_id,canonical_name,display_name,handedness,gender,first_seen,last_seen
p_8a7b4e0e,francesca jones,Francesca Jones,R,W,,
p_b1a7b176,francesca schiavone,Francesca Schiavone,R,W,,
p_0571ea91,francesco maestrelli,Francesco Maestrelli,R,M,,
p_6cd8c014,francesco passaro,Francesco Passaro,R,M,,
p_cc6e3f65,francisca jorge,Francisca Jorge,R,W,,
p_d96c9cb1,francisco cerundolo,Francisco Cerundolo,R,M,,
p_93caf053,francisco clavet,Francisco Clavet,L,M,,
p_9cf264a8,francisco comesana,Francisco Comesana,R,M,,
p_8edaa15d,francisco llanes,Francisco Llanes,R,M,,
p_dbb5d309,franco skugor,Franco Skugor,R,M,,
p_a6e7b0a6,franco squillari,Franco Squillari,L,M,,
p_027d6f87,francoise abanda,Francoise Abanda,R,W,,
p_8491045d,frank dancevic,Frank Dancevic,R,M,,
p_8c59f51a,gabriel decamps,Gabriel Decamps,R,M,,
p_0e992454,gabriel diallo,Gabriel Diallo,R,M,,
p_fbfb0a96,gabriel markus,Gabriel Markus,R,M,,
p_c77dc9ff,gabriela andrea knutson,Gabriela Andrea Knutson,R,W,,
p_635d4e97,gabriela ce,Gabriela Ce,L,W,,
p_70f36224,gabriela dabrowski,Gabriela Dabrowski,R,W,,
p_3d983534,gabriela lee,Gabriela Lee,L,W,,
p_c800eab5,gabriela sabatini,Gabriela Sabatini,R,W,,
p_f8ca4222,gabriele felline,Gabriele Felline,R,M,,
p_f88c8fa2,gabriella mikaul,Gabriella Mikaul,L,W,,
p_cc443f65,gael monfils,Gael Monfils,R,M,,
p_20c7dbbb,galo blanco,Galo Blanco,R,M,,
p_d53086db,garbine muguruza,Garbine Muguruza,R,W,,
p_4cf9e26f,gary muller,Gary Muller,L,M,,
p_a5fec2ba,gastao elias,Gastao Elias,R,M,,
p_c976eb2f,gaston etlis,Gaston Etlis,R,M,,
p_f478a73b,gaston gaudio,Gaston Gaudio,R,M,,
p_06f3988e,gavin van peperzeel,Gavin Van Peperzeel,R,M,,
p_2f55334d,genaro alberto olivieri,Genaro Alberto Olivieri,R,M,,
p_7fbf2d48,george bastl,George Bastl,R,M,,
p_5c259f77,georgia pedone,Georgia Pedone,R,W,,
p_3f3495e8,georgina garcia perez,Georgina Garcia Perez,R,W,,
p_36bed8a9,gerald melzer,Gerald Melzer,L,M,,
p_99c81705,germain gigounon,Germain Gigounon,R,M,,
p_38d1e191,gianluca mager,Gianluca Mager,R,M,,
p_35625ee3,gianluigi quinzi,Gianluigi Quinzi,L,M,,
p_a0459565,gijs brouwer,Gijs Brouwer,R,M,,
p_a48e7af7,gilles arnaud bailly,Gilles Arnaud Bailly,R,M,,
p_d9bfec67,gilles muller,Gilles Muller,L,M,,
p_d443d5c6,gilles simon,Gilles Simon,R,M,,
p_66f0b185,gina feistel,Gina Feistel,R,W,,
p_39448ac0,giorgio galimberti,Giorgio Galimberti,R,M,,
p_a22f584e,giovanni lapentti,Giovanni Lapentti,R,M,,
p_060be673,giovanni mpetshi perricard,Giovanni Mpetshi Perricard,R,M,,
p_24b715bd,gisela dulko,Gisela Dulko,R,W,,
p_74af506b,giulia gatto monticone,Giulia Gatto Monticone,R,W,,
p_5bc7729f,giuliana olmos,Giuliana Olmos,R,W,,
p_c4b778b5,giulio zeppieri,Giulio Zeppieri,L,M,,
p_8727bcbd,goncalo oliveira,Goncalo Oliveira,L,M,,
p_57bfa7c4,gonzalo escobar,Gonzalo Escobar,L,M,,
p_9a4d51c2,gonzalo lama,Gonzalo Lama,R,M,,
