match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20221127-M-Valencia_CH-F-Oleksii_Krutykh-Luca_Van_Assche,Oleksii Krutykh,Luca Van Assche,R,R,20221127,Valencia CH,F,,,Clay,,3,1,Zindaras
20221126-M-Davis_Cup_Finals-SF-Lorenzo_Sonego-Denis_Shapovalov,Lorenzo Sonego,Denis Shapovalov,R,L,20221126,Davis Cup Finals,SF,13:20,Malaga,Hard,James Keothavong,3,1,Zindaras
20221123-M-Davis_Cup_Finals-QF-Marin_Cilic-Pablo_Carreno_Busta,Marin Cilic,Pablo Carreno Busta,R,R,20221123,Davis Cup Finals,QF,18:35,Malaga,Hard,Damien Dumusois,3,1,Zindaras
20221122-M-Davis_Cup_Finals-QF-Jordan_Thompson-Tallon_Griekspoor,Jordan Thompson,Tallon Griekspoor,R,R,20221122,Davis Cup Finals,QF,16:20,Malaga,Hard,James Keothavong,3,1,Zindaras
20221122-M-Davis_Cup_Finals-QF-Botic_Van_De_Zandschulp-Alex_De_Minaur,Botic Van De Zandschulp,Alex De Minaur,R,R,20221122,Davis Cup Finals,QF,19:40,Malaga,Hard,Alison Hughes,3,1,Zindaras
20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,Novak Djokovic,Casper Ruud,R,R,20221120,Tour Finals,F,7pm,Centre,Hard,Aurelie Tourte,3,1,Edo
20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,Taylor Fritz,Novak Djokovic,R,R,20221119,Tour Finals,SF,2pm,Centre,Hard,Renaud Lichtenstein,3,1,Edo
20221119-M-Tour_Finals-SF-Andrey_Rublev-Casper_Ruud,Andrey Rublev,Casper Ruud,R,R,20221119,Tour Finals,SF,9:10 PM,Centre,Hard,M. Lahyani ,3,1,BG
20221118-M-Tour_Finals-RR-Stefanos_Tsitsipas-Andrey_Rublev,Stefanos Tsitsipas,Andrey Rublev,R,R,20221118,Tour Finals,RR,9:10 PM,Centre,Hard,A. Tourte,3,1,BG
20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,Novak Djokovic,Daniil Medvedev,R,R,20221118,Tour Finals,RR,,,Hard,,3,1,Isaac
20221117-M-Tour_Finals-RR-Taylor_Fritz-Felix_Auger_Aliassime,Taylor Fritz,Felix Auger Aliassime,R,R,20221117,Tour Finals,RR,9:10 PM,Centre,Hard,M. Lahyani ,3,1,BG
20221117-M-Tour_Finals-RR-Rafael_Nadal-Casper_Ruud,Rafael Nadal,Casper Ruud,L,R,20221117,Tour Finals,RR,2:10 PM,Centre,Hard,A. Tourte,3,1,BG
20221117-M-Helsinki_CH-R16-Otto_Virtanen-Tomas_Machac,Otto Virtanen,Tomas Machac,R,R,20221117,Helsinki CH,R16,,,Hard,,3,1,Shreyas
20221116-M-Tour_Finals-RR-Stefanos_Tsitsipas-Daniil_Medvedev,Stefanos Tsitsipas,Daniil Medvedev,R,R,20221116,Tour Finals,RR,9:20 PM,Centre ,Hard,R. Lichtenstein ,3,1,BG
20221116-M-Tour_Finals-RR-Novak_Djokovic-Andrey_Rublev,Novak Djokovic,Andrey Rublev,R,R,20221116,Tour Finals,RR,,,Hard,,3,1,Isaac
20221115-M-Tour_Finals-RR-Felix_Auger_Aliassime-Rafael_Nadal,Felix Auger Aliassime,Rafael Nadal,R,L,20221115,Tour Finals,RR,2:10 PM,Centre,Hard,M. Lahyani ,3,1,BG
20221115-M-Tour_Finals-RR-Casper_Ruud-Taylor_Fritz,Casper Ruud,Taylor Fritz,R,R,20221115,Tour Finals,RR,9:10 PM,Centre,Hard,A. Nour,3,1,BG
